Number,Name,Designation,Orbit,H Mag,Type [1],Vis,NIR,Taxon,Type [3],Slope,PC1',PC2',PC3',PC4',PC5',Date (UT),Telescope,Simplified Category
3988,Huma,1986 LA,AMO,17.8,VISNIR,39,*,,S,0.2346,0.4259,-0.1084,0.1215,-0.0186,-0.0157,2011-06-06,IRTF 3m,S-Group
4055,Magellan,1985 DO2,AMO,14.5,VISNIR,5,*,,V,0.0248,0.3672,1.1666,-0.2675,-0.1519,-0.0415,2005-04-11,IRTF 3m,V-type
4142,Dersu-Uzala,1981 KE,MC,12.9,VISNIR,10,5,,Srw,0.7656,0.1929,0.0803,0.2383,0.0874,-0.0143,2002-04-14,IRTF 3m,S-Group
4179,Toutatis,1989 AC,APO,15.3,VISNIR,10,*,,Sq,0.1995,-0.3223,0.1659,0.0373,0.0315,-0.0166,2004-09-15,IRTF 3m,S-Group
4183,Cuno,1959 LM,APO,14.4,VISNIR,5,*,,Q,0.0268,-0.4621,0.1564,0.1341,0.0253,-0.0031,2011-10-24,IRTF 3m,S-Group
4197,Morpheus,1982 TA,APO,14.6,VISNIR,10,*,,Sq,0.0766,-0.0946,0.0843,-0.0629,-0.0066,0.0301,2003-10-01,IRTF 3m,S-Group
4451,Grieve          ,1988 JJ,MC,12.0,VISNIR,5,*,,Svw,0.2549,0.5298,0.0018,-0.0393,0.0226,-0.0067,2002-01-14,IRTF 3m,S-Group
4486,Mithra,1987 SB,APO,15.6,VISNIR,30,*,,Sq,0.1031,-0.3859,0.2434,0.0549,0.0187,0.0189,2000-10-10,IRTF 3m,S-Group
4558,Janesick,1988 NF,MC,12.5,VISNIR,10,*,,Sr,0.1283,0.0782,0.1086,-0.0144,-0.0433,0.0148,2004-06-15,IRTF 3m,S-Group
4587,Rees,3239 T-2,AMO,15.3,VISNIR,49,49,,Sr,0.1788,0.1481,0.1293,0.047,0.0004,0.0111,2003-07-05,TNG 3.6m,S-Group
4660,Nereus,1982 DB,APO,18.2,VISNIR,5,5,,Xe,0.0969,0.0642,-0.2002,-0.1672,0.0529,-0.0563,2002-03-15,IRTF 3m,X-Group
4688,,1980 WF,AMO,19.4,VISNIR,5,*,,Q,0.195,-0.8131,0.3191,0.1691,-0.0836,0.0832,2001-01-29,IRTF 3m,S-Group
4953,,1990 MU,APO,14.1,VISNIR,,46,,"Q,R",0.6384,-0.0711,0.4372,0.1542,0.1713,0.1622,,,Other
4954,Eric,1990 SQ,AMO,12.6,VISNIR,5,*,,Srw,0.3003,0.2628,0.047,0.0228,0.0154,0.0253,2007-10-02,IRTF 3m,S-Group
4995,Griffen,1984 QR,MC,13.3,VISNIR,10,*,,S,0.1297,0.1627,0.0581,-0.0341,-0.0094,0.012,2002-10-28,IRTF 3m,S-Group
5011,Ptah,6743 P-L,APO,16.3,VISNIR,58,*,,Q,0.1435,-0.6122,0.2807,0.2215,-0.0935,-0.0105,2006-11-21,IRTF 3m,S-Group
5131,,1990 BG,APO,14.6,VISNIR,5,*,,Sa,0.3655,-0.2829,0.0655,0.3435,0.1061,-0.0268,2010-01-17,IRTF 3m,S-Group
5143,Heracles,1991 VL,APO,13.8,VISNIR,10,*,,Q,0.0599,-0.7834,0.2653,0.1285,0.035,0.0111,2006-10-25,IRTF 3m,S-Group
5230,Asahina,1988 EF,MC,13.2,VISNIR,10,*,,S,0.1749,0.0492,0.0548,0.0487,-0.0375,0.0404,2005-09-05,IRTF 3m,S-Group
5261,Eureka,1990 MB,MC,16.1,VISNIR,10,*,,Sa,0.4548,-0.9191,0.0435,0.2455,-0.1112,0.0455,2005-05-19,IRTF 3m,S-Group
5392,Parker,1986 AK,MC,12.6,VISNIR,10,*,,Sv,0.1617,0.5158,-0.0034,0.0554,0.0062,0.0487,2010-10-27,IRTF 3m,S-Group
5407,,1992 AX,MC,13.8,VISNIR,10,*,,S,0.0628,0.1027,0.0255,-0.0276,0.072,0.0141,2002-01-13,IRTF 3m,S-Group
5587,,1990 SB,AMO,13.8,VISNIR,10,*,,Sr,0.1109,-0.0559,0.1527,-0.0374,0.0884,0.0164,2001-03-28,IRTF 3m,S-Group
5604,,1992 FE,ATE,17.1,VISNIR,6,*,,V,-0.0108,0.6514,0.8809,-0.1774,-0.054,-0.0017,2001-03-29,IRTF 3m,V-type
5626,,1991 FE,AMO,14.2,VISNIR,5,*,,S,0.1825,0.2526,-0.0325,0.0599,-0.0385,0.0283,2009-09-20,IRTF 3m,S-Group
5645,,1990 SP,APO,17.1,VISNIR,50,*,,X,0.2128,-0.1692,-0.1076,-0.1462,-0.0438,-0.0553,2002-04-14,IRTF 3m,X-Group
5646,,1990 TR,AMO,15.2,VISNIR,5,*,,Q,0.154,-0.9252,0.4071,0.3416,-0.1832,0.2672,2012-09-14,IRTF 3m,S-Group
5660,,1974 MA,APO,15.4,VISNIR,10,*,,Q,0.1637,-0.7014,0.2523,0.229,-0.1322,-0.0056,2005-07-09,IRTF 3m,S-Group
5786,Talos,1991 RC,APO,17.1,VISNIR,26,*,,Q,0.1637,-0.6422,0.3347,0.0709,-0.0118,0.0084,2001-08-23,IRTF 3m,S-Group
5817,Robertfrazer,1989 RZ,MC,12.7,VISNIR,10,*,,Sr,0.1584,0.2828,0.036,0.0707,-0.0378,0.0443,2004-09-22,IRTF 3m,S-Group
5836,,1993 MF,AMO,14.7,VISNIR,5,*,,S,0.0483,0.2201,-0.0252,0.0485,-0.0086,0.0132,2012-04-29,IRTF 3m,S-Group
6037,,1988 EG,APO,18.7,VISNIR,*,*,,Q,0.2012,-0.0861,-0.14,0.1262,0.0289,-0.0186,2013-08-08,IRTF 3m,S-Group
6239,Minos,1989 QF,APO,18.4,VISNIR,69,*,,Sq,0.1458,-0.2928,0.0589,0.1028,0.0082,-0.0333,2010-09-07,IRTF 3m,S-Group
6386,Keithnoll,1989 NK1,MC,12.5,VISNIR,10,*,,S,0.2304,0.1405,0.0137,0.1741,0.0758,-0.0064,2005-03-03,IRTF 3m,S-Group
6411,Tamaga,1993 TA,MC,13.1,VISNIR,69,*,,B,-0.1297,-0.2838,-0.1109,-0.2029,-0.0271,0.0131,2004-02-20,IRTF 3m,C-Group
6455,,1992 HE,APO,13.8,VISNIR,5,*,,Sqw,0.3193,-0.1695,0.1628,0.2171,-0.0046,-0.0707,2012-04-21,IRTF 3m,S-Group
6456,Golombek,1992 OM,AMO,15.9,VISNIR,15,15,,Q,0.2092,-0.4932,0.1484,0.1487,0.0157,-0.0333,2005-07-07,TNG 3.6m,S-Group
6585,O'Keefe,1984 SR,MC,14.2,VISNIR,10,*,,S,0.1161,0.0392,0.0667,0.0126,0.0226,0.0444,2006-10-25,IRTF 3m,S-Group
6611,,1993 VW,APO,16.8,VISNIR,10,*,,V,0.0081,0.288,0.7882,0.0462,0.0379,-0.0196,2005-05-10,IRTF 3m,V-type
6909,Levison,1998 WA2,MC,13.8,VISNIR,15,15,,U,0.091,0.0694,-0.336,0.0352,0.2991,0.0667,2003-08-24,TNG 3.6m,Other
7304,Namiki,1994 AE2,MC,13.7,VISNIR,10,*,,L,0.4104,0.3017,-0.2933,-0.002,0.0295,-0.0004,2007-03-23,IRTF 3m,S-Group
7336,Saunders,1989 RS1,AMO,18.8,VISNIR,10,*,,Q,0.0281,-0.617,0.2372,0.1675,0.0029,-0.024,2010-09-06,IRTF 3m,S-Group
7341,,1991 VK,APO,16.7,VISNIR,5,*,,Q,0.1299,-0.4553,0.1944,0.1872,0.0432,0.0014,2011-10-24,IRTF 3m,S-Group
7358,Oze,1995 YA3,AMO,14.6,VISNIR,5,*,,Sq,0.0676,-0.2103,0.0273,-0.0003,-0.0466,0.035,2011-06-06,IRTF 3m,S-Group
7482,,1994 PC1,APO,16.8,VISNIR,10,*,,S,0.1593,-0.0047,0.0454,0.2342,0.0263,-0.0096,2008-07-07,IRTF 3m,S-Group
7753,,1988 XB,APO,18.6,VISNIR,6,21,,Cb,0.0005,-0.756,0.0489,-0.2256,0.0122,-0.0416,2004-12-03,IRTF 3m,C-Group
7822,,1991 CS,APO,17.4,VISNIR,5,74,,S,0.196,0.2291,0.0219,0.1163,0.1254,0.121,2010-03-06,IRTF 3m,S-Group
7888,,1993 UC,APO,15.2,VISNIR,10,*,,S,0.0983,0.7249,-0.1341,0.1897,-0.3385,0.1296,2013-04-12,IRTF 3m,S-Group
7889,,1994 LX,APO,15.1,VISNIR,5,*,,V,-0.0624,-0.039,1.3371,-0.177,-0.181,0.0272,2008-07-07,IRTF 3m,V-type
8013,Gordonmoore,1990 KA,AMO,16.8,VISNIR,49,49,,Sr,,,,,,,,,S-Group
8373,Stephengould,1992 AB,MC,13.9,VISNIR,15,15,,D,0.5203,0.4631,-0.4174,-0.0988,-0.0011,-0.1224,2004-01-15,TNG 3.6m,D-type
8566,,1996 EN,APO,16.3,VISNIR,5,74,,V,0.0479,0.1388,1.192,0.313,-0.1093,0.0505,2009-09-02,IRTF 3m,V-type
8567,,1996 HW1,AMO,15.3,VISNIR,76,*,,Sw,0.2724,0.0442,-0.0527,0.2025,-0.0683,-0.0767,2005-09-04,IRTF 3m,S-Group
9400,,1994 TW1,AMO,14.8,VISNIR,5,*,,S,0.0041,0.2862,-0.0465,0.1542,-0.0888,0.1498,2012-03-23,IRTF 3m,S-Group
10150,,1994 PN,AMO,15.2,VISNIR,15,15,,S,0.1141,0.0722,0.051,-0.1789,0.1789,-0.0862,2005-07-09,TNG 3.6m,S-Group
10302,,1989 ML,AMO,19.3,VISNIR,3,*,,X,0.206,-0.3251,-0.0018,-0.1933,0.0242,-0.0331,2012-07-12,Mag 6.5m,X-Group
11066,Sigurd,1992 CC1,APO,15.2,VISNIR,82,*,,S,0.1955,0.2956,-0.0356,-0.0571,0.1164,-0.0336,2010-02-22,IRTF 3m,S-Group
11398,,1998 YP11,AMO,16.3,VISNIR,5,*,,Sr,0.1563,0.105,0.1066,0.0739,0.0277,0.0315,2008-03-10,IRTF 3m,S-Group
11405,,1999 CV3,APO,15.2,VISNIR,5,14,,Sq,0.1121,-0.1149,0.0697,0.2168,0.085,-0.043,1999-02-19,UKIRT 3.8m,S-Group
12711,Tukmit,1991 BB,APO,15.8,VISNIR,5,74,,Sqw,0.2756,-0.367,0.1546,0.249,-0.0006,0.0248,2009-09-01,IRTF 3m,S-Group
13553,Masaakikoyama,1992 JE,AMO,16.3,VISNIR,15,*,,U,0.1301,-1.0349,0.2713,-0.1243,0.1316,0.0051,2005-09-04,IRTF 3m,Other
14402,,1991 DB,AMO,18.6,VISNIR,5,*,,Xk,0.1165,-0.586,0.0596,-0.1168,0.0484,-0.0403,2009-03-02,IRTF 3m,X-Group
15745,Yuliya,1991 PM5,AMO,17.2,VISNIR,5,*,,S,0.156,0.3784,-0.0994,0.0415,-0.0266,-0.057,2009-08-07,IRTF 3m,S-Group
16834,,1997 WU22,APO,15.5,VISNIR,3,*,,S,0.2057,0.1689,-0.0323,0.1115,0.0673,0.0247,2009-09-20,IRTF 3m,S-Group
16960,,1998 QS52,APO,14.3,VISNIR,5,*,,Sr,-0.0044,-0.2939,0.1922,-0.0186,-0.0028,0.0336,2008-10-02,IRTF 3m,S-Group
17274,,2000 LC16,AMO,16.6,VISNIR,5,*,,D,0.4578,-0.4133,-0.0453,-0.2009,-0.0174,-0.0286,2009-08-24,IRTF 3m,D-type
17511,,1992 QN,APO,17.0,VISNIR,5,*,,B,-0.1219,-0.0618,-0.2707,-0.0694,0.0318,0.0046,2013-10-31,IRTF 3m,C-Group
18736,,1998 NU,AMO,15.8,VISNIR,5,*,,S,0.2385,0.0519,0.077,0.0434,0.2064,-0.0865,2001-01-30,IRTF 3m,S-Group
18882,,1999 YN4,AMO,15.9,VISNIR,5,74,,S,0.098,0.1594,0.0601,0.0297,0.0474,0.0657,2010-12-27,IRTF 3m,S-Group
19127,Olegefremov,1987 QH10,MC,15.2,VISNIR,69,*,,Srw,0.2815,-0.355,0.2417,-0.0199,-0.1651,-0.1745,2003-09-30,IRTF 3m,S-Group
19356,,1997 GH3,AMO,16.8,VISNIR,10,*,,Sq,0.123,-0.144,0.1378,0.1088,-0.0561,0.0039,2001-01-30,IRTF 3m,S-Group
19764,,2000 NF5,AMO,15.9,VISNIR,66,*,,Sq,0.1164,-0.129,0.0114,0.1801,-0.0341,-0.0227,2010-09-06,IRTF 3m,S-Group
20790,,2000 SE45,AMO,16.4,VISNIR,5,*,,S,0.0498,0.2926,-0.0056,-0.0352,0.0459,-0.0093,2001-01-29,IRTF 3m,S-Group
21088,Chelyabinsk,1992 BL2,AMO,14.2,VISNIR,15,*,,Sw,0.3631,-0.0629,-0.0356,0.165,0.0287,-0.0476,2001-01-30,IRTF 3m,S-Group
22771,,1999 CU3,APO,16.8,VISNIR,5,*,,S,0.2414,0.5591,-0.1603,0.009,0.0355,-0.0142,2003-10-16,IRTF 3m,S-Group
24445,,2000 PM8,AMO,14.6,VISNIR,69,*,,Sr,0.1502,0.1831,0.1997,-0.0321,0.0668,0.0078,2003-10-01,IRTF 3m,S-Group
24475,,2000 VN2,AMO,16.3,VISNIR,5,*,,Sw,0.296,0.1983,-0.0118,0.1101,0.0018,-0.0219,2011-12-27,IRTF 3m,S-Group
25143,Itokawa,1998 SF36,APO,19.2,VISNIR,4,*,,Sq,0.2486,-0.1535,0.0649,0.1955,0.0806,-0.0171,2001-02-19,IRTF 3m,S-Group
25330,,1999 KV4,APO,16.6,VISNIR,5,*,,B,-0.058,-0.3381,-0.0215,-0.2032,0.0836,-0.0164,2002-10-27,IRTF 3m,C-Group
25916,,2001 CP44,AMO,13.5,VISNIR,56,*,,Sw,0.3014,0.247,-0.1315,0.1177,0.0815,-0.0252,2010-09-07,IRTF 3m,S-Group
29075,,1950 DA,APO,17.1,VISNIR,26,*,,L,0.1912,0.238,-0.2238,-0.0837,-0.054,0.1192,2001-01-29,IRTF 3m,S-Group
30825,,1990 TG1,APO,14.8,VISNIR,15,*,,Sq,0.2031,-0.2265,0.0775,0.1612,-0.0106,-0.033,2005-03-03,IRTF 3m,S-Group
32906,,1994 RH,AMO,15.8,VISNIR,5,*,,S,0.1136,0.0908,0.0626,-0.0369,0.0919,-0.024,2011-12-28,IRTF 3m,S-Group
33342,,1998 WT24,ATE,17.9,VISNIR,50,*,,X,0.2519,-0.0336,-0.1661,-0.1626,0.0668,-0.005,2001-12-20,IRTF 3m,X-Group
33881,,2000 JK66,MC,14.1,VISNIR,57,57,,V,0.2211,1.083,1.1331,-0.2102,0.012,-0.1033,2007-11-23,IRTF 3m,V-type
35107,,1991 VH,APO,16.7,VISNIR,10,*,,Sq,0.2348,-0.285,0.1244,0.169,0.0199,0.028,2002-12-27,IRTF 3m,S-Group
35396,,1997 XF11,APO,16.9,VISNIR,6,49,,S,0.2327,-0.0856,-0.0171,0.0721,0.164,0.0291,2002-12-08,TNG 3.6m,S-Group
36017,,1999 ND43,AMO,19.2,VISNIR,*,*,,S,0.1524,0.0917,-0.0221,0.1402,-0.1056,-0.1155,2014-10-22,IRTF 3m,S-Group
36284,,2000 DM8,APO,14.9,VISNIR,5,*,,Sq,0.1321,-0.3692,0.0303,0.1408,0.0009,-0.0374,2011-02-07,IRTF 3m,S-Group
37336,,2001 RM,AMO,15.6,VISNIR,5,*,,S,0.113,0.1797,0.0084,-0.0504,0.0326,-0.044,2011-06-07,IRTF 3m,S-Group
52340,,1992 SY,APO,17.7,VISNIR,50,*,,Q,0.164,-0.6977,0.2477,0.1574,-0.0192,-0.0987,2002-12-27,IRTF 3m,S-Group
52768,,1998 OR2,AMO,15.8,VISNIR,26,*,,Xk,0.0741,-0.0971,-0.1284,-0.1101,0.0038,-0.0064,2009-03-30,IRTF 3m,X-Group
53435,,1999 VM40,AMO,14.6,VISNIR,3,*,,Srw,0.3714,0.2264,0.1183,-0.0097,0.0481,0.0245,2006-10-25,IRTF 3m,S-Group
54690,,2001 EB,AMO,17.1,VISNIR,5,*,,S,0.2114,0.4806,-0.2042,-0.0682,0.0481,-0.003,2001-03-28,IRTF 3m,S-Group
54789,,2001 MZ7,AMO,14.8,VISNIR,15,*,,Xe,0.1679,0.3319,-0.373,-0.0894,0.0127,-0.0335,2010-01-17,IRTF 3m,X-Group
65679,,1989 UQ,ATE,19.4,VISNIR,6,*,,C,0.0499,-0.6898,0.0257,-0.2076,-0.0574,-0.042,2010-10-13,IRTF 3m,C-Group
65803,Didymos,1996 GT,AMO,18.0,VISNIR,5,15,,S,0.1416,0.3023,-0.179,0.1012,0.0868,-0.0626,2004-01-16,TNG 3.6m,S-Group
65996,,1998 MX5,AMO,18.5,VISNIR,50,*,,X,0.1684,-0.2794,-0.1154,-0.1986,-0.0515,-0.0473,2003-07-05,IRTF 3m,X-Group
66146,,1998 TU3,ATE,14.6,VISNIR,69,*,,Q,0.093,-0.524,0.1961,0.1222,0.0181,-0.0496,2010-10-14,IRTF 3m,S-Group
66251,,1999 GJ2,AMO,16.9,VISNIR,50,*,,Sw,0.4403,0.3279,-0.1402,0.0675,-0.0251,-0.0521,2005-10-08,IRTF 3m,S-Group
68216,,2001 CV26,APO,16.4,VISNIR,26,*,,S,0.2043,0.1521,-0.0609,0.0877,0.0171,-0.0247,2010-03-16,IRTF 3m,S-Group
68346,,2001 KZ66,APO,16.7,VISNIR,50,15,,Sw,0.2889,-0.0115,-0.0151,0.2514,0.0935,-0.0619,2004-01-16,TNG 3.6m,S-Group
68350,,2001 MK3,AMO,15.9,VISNIR,24,74,,S,0.2485,0.1506,0.0367,-0.0541,0.1146,0.0079,2011-02-02,IRTF 3m,S-Group
68359,,2001 OZ13,AMO,17.8,VISNIR,44,*,,S,0.1255,-0.0276,-0.044,0.2446,-0.0498,0.0144,2008-01-16,IRTF 3m,S-Group
68372,,2001 PM9,APO,18.8,VISNIR,49,49,,C_comp,0.171,-0.8677,0.0326,-0.1746,-0.0618,-0.067,2003-07-06,TNG 3.6m,C-Group
68950,,2002 QF15,APO,16.4,VISNIR,15,*,,S,0.1918,0.8719,-0.2265,0.0895,-0.0138,-0.0223,2006-06-29,IRTF 3m,S-Group
85774,,1998 UT18,APO,19.2,VISNIR,5,76,,Cg,0.0756,-0.5882,-0.0064,-0.0705,0.0191,0.0369,2003-11-04,IRTF 3m,C-Group
85818,,1998 XM4,APO,15.5,VISNIR,5,*,,Srw,0.287,0.2876,0.0722,-0.0435,-0.0702,0.0732,2010-05-10,IRTF 3m,S-Group
85867,,1999 BY9,AMO,18.0,VISNIR,69,15,,Q,0.1687,-0.5926,0.2095,0.1427,-0.0862,-0.0787,2004-01-16,TNG 3.6m,S-Group
85989,,1999 JD6,ATE,17.1,VISNIR,5,*,,L,0.0925,-0.0343,-0.1702,0.0081,-0.0839,0.0145,2010-07-11,IRTF 3m,S-Group
85990,,1999 JV6,APO,19.9,VISNIR,*,*,,S,0.1372,0.1372,-0.073,-0.0946,0.0487,0.112,2014-01-28,IRTF 3m,S-Group
86039,,1999 NC43,APO,15.9,VISNIR,5,*,,Q,0.1008,-0.5255,0.2958,0.1481,0.0189,-0.056,2007-03-23,IRTF 3m,S-Group
86450,,2000 CK33,ATE,18.2,VISNIR,5,*,,L,0.1226,0.3759,-0.2261,-0.0843,0.1306,-0.0724,2001-01-29,IRTF 3m,S-Group
86819,,2000 GK137,APO,17.4,VISNIR,5,*,,Sq,0.1713,-0.3047,0.1678,0.2239,-0.0173,-0.0231,2000-10-09,IRTF 3m,S-Group
87684,,2000 SY2,ATE,16.0,VISNIR,50,*,,Q,0.1382,-0.7523,0.5146,0.235,-0.049,0.0935,2004-09-15,IRTF 3m,S-Group
88188,,2000 XH44,AMO,16.0,VISNIR,15,*,,V,0.0434,0.3143,0.7584,-0.082,0.0956,-0.0296,2004-02-20,IRTF 3m,V-type
88254,,2001 FM129,APO,17.6,VISNIR,31,*,,Q,0.1171,-0.5628,0.1596,0.1615,-0.094,-0.0936,2010-03-17,IRTF 3m,S-Group
88710,,2001 SL9,APO,17.6,VISNIR,48,*,,S,0.1726,-0.1504,0.158,0.1167,-0.0318,-0.0031,2003-07-07,TNG 3.6m,S-Group
89355,,2001 VS78,AMO,15.5,VISNIR,5,*,,Sr,0.2109,0.2311,0.0817,0.0442,0.0764,-0.0131,2002-04-15,IRTF 3m,S-Group
96189,Pygmalion,1991 NT3,AMO,16.4,VISNIR,19,*,,B,-0.0918,-0.3748,-0.0739,-0.2348,-0.1988,-0.0764,2013-06-11,IRTF 3m,C-Group
96590,,1998 XB,ATE,16.2,VISNIR,26,*,,Q,0.0911,-0.6775,0.2609,0.1518,0.049,0.0191,2011-01-06,IRTF 3m,S-Group
98943,,2001 CC21,APO,18.5,VISNIR,5,*,,L,0.3951,0.1839,-0.0135,0.0241,0.1356,-0.046,2004-10-24,IRTF 3m,S-Group
99907,,1989 VA,ATE,17.9,VISNIR,5,*,,Sr,0.0957,-0.3535,0.2817,0.1664,0.0757,0.0267,2007-11-11,IRTF 3m,S-Group
99942,Apophis,2004 MN4,ATE,19.2,VISNIR,7,7,,Sq,0.2054,-0.2178,0.0304,0.1121,0.0267,-0.0521,2013-01-17,IRTF 3m,S-Group
100926,,1998 MQ,AMO,16.7,VISNIR,10,*,,Sqw,0.2575,-0.1308,0.1417,0.1382,0.0252,0.0281,2010-10-14,IRTF 3m,S-Group
101955,Bennu,1999 RQ36,APO,20.9,VISNIR,13,*,,B,-0.057,-0.5567,-0.0276,-0.182,0.0255,-0.0167,2005-09-04,IRTF 3m,C-Group
102528,,1999 US3,MC,13.6,VISNIR,15,*,,X,0.2487,-0.0668,-0.2336,-0.0809,-0.0073,-0.0079,2008-10-02,IRTF 3m,X-Group
108519,,2001 LF,AMO,17.9,VISNIR,15,*,,C,0.063,-0.6608,0.0134,-0.2552,-0.0911,-0.0617,2003-07-05,IRTF 3m,C-Group
136617,,1994 CC,APO,17.7,VISNIR,9,74,,S_comp,0.1589,-0.8398,0.1803,0.3047,-0.1497,0.0225,2009-10-18,IRTF 3m,S-Group
136923,,1998 JH2,AMO,16.2,VISNIR,24,*,,Sw,0.2583,0.2273,-0.0787,0.1912,0.0223,-0.0703,2011-09-25,IRTF 3m,S-Group
136993,,1998 ST49,APO,17.7,VISNIR,3,*,,Sr,0.1372,-0.2862,0.2313,-0.0227,-0.0129,0.023,2005-10-08,IRTF 3m,S-Group
137032,,1998 UO1,APO,16.6,VISNIR,26,*,,Q,0.055,-0.6524,0.2293,0.1403,-0.0433,0.0031,2008-10-02,IRTF 3m,S-Group
137062,,1998 WM,APO,16.5,VISNIR,10,*,,Sr,0.0996,0.3222,0.212,0.2143,0.2437,0.0774,2002-10-27,IRTF 3m,S-Group
137126,,1999 CF9,APO,17.9,VISNIR,3,*,,Sq,0.0196,-0.405,0.2291,-0.0082,0.023,0.022,2013-09-07,IRTF 3m,S-Group
137170,,1999 HF1,ATE,14.5,VISNIR,5,*,,Xk,0.0154,-0.1386,-0.1314,-0.1551,-0.019,-0.0328,2005-04-11,IRTF 3m,X-Group
137427,,1999 TF211,APO,15.1,VISNIR,15,15,,S,0.2341,0.4218,-0.2665,0.2314,-0.0529,-0.0347,2004-01-15,TNG 3.6m,S-Group
137799,,1999 YB,AMO,18.5,VISNIR,3,*,,Sq,0.0731,-0.0848,0.0671,0.2283,0.0686,0.0138,2011-10-24,IRTF 3m,S-Group
138258,,2000 GD2,ATE,19.1,VISNIR,5,*,,Sq,0.0664,-0.3479,0.1334,0.0794,0.0596,-0.1056,2002-03-15,IRTF 3m,S-Group
138404,,2000 HA24,APO,19.1,VISNIR,27,*,,S,0.1291,0.1924,-0.1,-0.0221,0.0155,-0.0207,2010-09-06,IRTF 3m,S-Group
138524,,2000 OJ8,AMO,16.7,VISNIR,5,*,,Sr,0.0875,0.1393,0.144,0.0045,-0.0162,0.0502,2011-09-25,IRTF 3m,S-Group
138846,,2000 VJ61,APO,15.8,VISNIR,15,15,,Sr,0.1138,-0.0239,0.2562,-0.0511,-0.1119,-0.1804,2004-01-15,TNG 3.6m,S-Group
138852,,2000 WN10,APO,20.2,VISNIR,26,*,,Q,0.1202,-0.4688,0.1284,0.1479,0.0583,0.0028,2014-12-01,IRTF 3m,S-Group
138911,,2001 AE2,AMO,19.1,VISNIR,6,74,,L,0.2404,0.5749,-0.1962,-0.1263,0.1279,0.0005,2012-01-28,IRTF 3m,S-Group
139622,,2001 QQ142,APO,18.4,VISNIR,5,*,,Sq,0.1285,-0.2485,0.039,0.1155,0.1439,-0.1325,2007-01-21,IRTF 3m,S-Group
141018,,2001 WC47,AMO,18.9,VISNIR,15,*,,Sw,0.2715,0.2355,-0.0866,0.0313,0.1572,-0.0906,2012-03-20,IRTF 3m,S-Group
