Number,Name,Designation,Orbit,H Mag,Type [1],Vis,NIR,Taxon,Type [3],Slope,PC1',PC2',PC3',PC4',PC5',Date (UT),Telescope,Simplified Category
217796,,2000 TO64,AMO,17.1,VISNIR,28,*,,Sr,0.0172,-0.0649,0.1858,0.0434,-0.0502,0.0373,2009-10-25,IRTF 3m,S-Group
217807,,2000 XK44,AMO,18.1,VISNIR,28,*,,Sqw,0.3211,-0.2917,0.0623,0.1563,0.0224,0.003,2009-10-25,IRTF 3m,S-Group
219071,,1997 US9,APO,17.1,VISNIR,5,*,,Q,0.0986,-0.4812,0.2113,0.24,0.1196,-0.0246,2011-10-31,IRTF 3m,S-Group
241662,,2000 KO44,AMO,17.5,VISNIR,66,*,,Sw,0.2558,0.354,-0.1988,0.2231,-0.0821,-0.0062,2010-07-12,IRTF 3m,S-Group
242187,,2003 KR18,AMO,17.9,VISNIR,69,49,,Sqw,0.2552,-0.163,0.0168,0.2446,0.1007,0.0258,2003-07-07,TNG 3.6m,S-Group
253841,,2003 YG118,APO,17.1,VISNIR,15,*,,V,0.0703,0.6814,0.8334,-0.1331,0.1141,-0.0029,2011-02-06,IRTF 3m,V-type
283460,,2001 PD1,AMO,18.3,VISNIR,5,*,,S,0.1549,0.356,-0.2089,-0.0433,0.1109,-0.1096,2011-09-25,IRTF 3m,S-Group
285263,,1998 QE2,AMO,16.6,VISNIR,43,*,,Ch,0.0573,-0.4453,-0.0212,-0.1893,0.0536,-0.0073,2013-06-02,IRTF 3m,C-Group
297418,,2000 SP43,ATE,18.5,VISNIR,39,*,,V,0.0359,0.8228,0.3977,-0.0099,0.0967,-0.0631,2011-10-23,IRTF 3m,V-type
302311,,2002 AA,APO,19.3,VISNIR,5,*,,S,0.0256,0.123,0.0245,-0.0893,-0.0301,-0.0458,2002-01-13,IRTF 3m,S-Group
308635,,2005 YU55,APO,21.9,VISNIR,31,*,,C,0.1178,-0.4405,-0.0414,-0.1582,-0.0477,-0.0235,2010-04-16,IRTF 3m,C-Group
310442,,2000 CH59,ATE,19.8,VISNIR,69,*,,Sq,0.0419,-0.1897,0.0895,0.2302,0.1112,0.0137,2008-01-16,IRTF 3m,S-Group
313538,,2002 YB12,APO,18.6,VISNIR,49,49,,Sq,,,,,,,,,S-Group
326290,Akhenaten,1998 HE3,ATE,21.8,VISNIR,26,*,,V,-0.1381,0.3874,0.5816,-0.1362,-0.3752,-0.2715,2012-04-29,IRTF 3m,V-type
329437,,2002 OA22,ATE,19.4,VISNIR,15,*,,Q,0.1474,-1.0005,0.2985,0.0635,0.093,-0.0387,2013-09-07,IRTF 3m,S-Group
341843,,2008 EV5,ATE,20.0,VISNIR,62,62,,C,-0.0599,-0.2302,-0.1027,-0.0695,-0.0075,-0.0127,2008-12-20,IRTF 3m,C-Group
345705,,2006 VB14,ATE,18.5,VISNIR,26,*,,Q,0.0592,-0.7175,0.2525,0.128,0.0266,-0.0076,2008-12-03,IRTF 3m,S-Group
